name,token,protocol_tvl,pool_tvl,network,address
"Staked EURA","EURA","4105228","4105228","mainnet","0x004626A008B1aCdC4c74ab51644093b155e59A23"
"Aave v3 DAI","DAI","164775989","164775989","mainnet","0x018008bfb33d285247A21d44E50697654f754e63"
"Aave v2 DAI","DAI","23160096","23160096","mainnet","0x028171bCA77440897B824Ca71D1c56caC55b68A3"
"DAI-1 yVault","DAI","2953755","2953755","mainnet","0x028eC7330ff87667b6dfb0D94b954c820195336c"
"Aave v2 WETH","WETH","156696628","156696628","mainnet","0x030bA81f1c18d280636F32af80b9AAd02Cf0854e"
"Compound v2 USDP","USDP","221206","221206","mainnet","0x041171993284df560249B57358F931D9eB7b925D"
"Gearbox ETH v3","WETH","715345","715345","arbitrum","0x04419d3509f13054f60d253E0c79491d9E683399"
"Yearn yPT-weETH Yearn Auto-Rolling Pendle PT","weETH","260892","260892","arbitrum","0x044E75fCbF7BD3f8f4577FF317554e9c0037F145"
"mkUSD yVault-A","mkUSD","99124","99124","mainnet","0x04AeBe2e4301CdF5E9c57B01eBdfe4Ac4B48DD13"
"Convex Curve Lending USDe/crvUSD","crvUSD","1448635","1448635","mainnet","0x04f08cAA46a9ADD56dd639709e124aC6F5046f0d"
"Sturdy crvUSD Compounder","crvUSD","257773","257773","mainnet","0x05329AAb081B125eEF7FbbC8b857428D478E692B"
"Euler Prime cbBTC","cbBTC","7554810","7554810","mainnet","0x056f3a2E41d2778D3a0c0714439c53af2987718E"
"Ajna Pool MKR/DAI","DAI","13338","13338","mainnet","0x0598c1FeDa47535FF5248E2Bd08703ACE4E740C4"
"Gearbox USDT v3","USDT","6543220","6543220","mainnet","0x05A811275fE9b4DE503B3311F51edF6A856D936e"
"Stakin - 0% Fee StakeWise V3","ETH","1130313","1130313","mainnet","0x05E393ec11D0197a88D84457908EDD4FF235f323"
"Sturdy PxETH/yearn curve StETH-PxETH LP silo","pxETH","2099976","2099976","mainnet","0x0669091F451142b3228171aE6aD794cF98288124"
"Big Euler's e-Stake StakeWise V3","ETH","114559","114559","mainnet","0x06Ec2d731b2fa8895E5a9482C22eE33573f44A13"
"yearn-V3-Stargate-DAI","DAI","7381","7381","polygon","0x06eD7C67755344548FAFe1822bEE365C4208a57F"
"Aave v3 WBTC","WBTC","40226016","40226016","optimism","0x078f358208685046a11C85e8ad32895DED33A249"
"Aave v3 WBTC","WBTC","296824111","296824111","arbitrum","0x078f358208685046a11C85e8ad32895DED33A249"
"Aave v3 WBTC","WBTC","139387660","139387660","polygon","0x078f358208685046a11C85e8ad32895DED33A249"
"EVK Vault eUSDS-3","USDS","243158","243158","mainnet","0x07F9A54Dc5135B9878d6745E267625BF0E206840"
"validator service StakeWise V3","ETH","994614","994614","mainnet","0x089A97A8bC0C0F016f89F9CF42181Ff06afB2Daf"
"Ether.Fi Liquid USD","USDC","28445954","28445954","mainnet","0x08c6F91e2B681FaF5e17227F2a44C307b3C1364C"
"Notional Prime DAI","DAI","39176","39176","arbitrum","0x0Ace2DC3995aCD739aE5e0599E71A5524b93b886"
"Aave v3 pyUSD","PYUSD","11219440","11219440","mainnet","0x0C0d01AbF3e6aDfcA0989eBbA9d6e85dD58EaB1E"
"Yearn yPT-ezETH Yearn Auto-Rolling Pendle PT","ezETH","28572","28572","arbitrum","0x0F2ae7531A83982F15ff1D26B165E2bF3D7566da"
"Relend USDC","USDC","22128638","22128638","mainnet","0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a"
"Pyth USDC","USDC","729696","729696","base","0x0FaBfEAcedf47e890c50C8120177fff69C6a1d9B"
"Aave v3 USDbC","USDbC","1217859","1217859","base","0x0a1d576f3eFeF75b330424287a95A366e8281D54"
